variable,contribucion_shap
tenure,0.10256910075014847
InternetService_Fiber optic,0.05260474481343687
TotalCharges,0.05097618042267467
Contract_Two year,0.032644465404903594
PaymentMethod_Electronic check,0.03212007406699429
MonthlyCharges,0.021173667315504078
Contract_One year,0.017529257710603714
OnlineSecurity_Yes,0.016305666888556898
